efta,dataset,url,verify_status,verify_content_type,verify_content_length,verdict,original_cl,original_lm
EFTA01170423,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01170423.pdf,404,text/html,20,REMOVED,9431,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01189024,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01189024.pdf,404,text/html,20,REMOVED,464,
EFTA00656644,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00656644.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01174802,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01174802.pdf,404,text/html,20,REMOVED,464,
EFTA01233681,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01233681.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01133201,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01133201.pdf,404,text/html,20,REMOVED,464,
EFTA01236166,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01236166.pdf,404,text/html,20,REMOVED,462,
EFTA00128428,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00128428.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01169732,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01169732.pdf,404,text/html,20,REMOVED,464,
EFTA01242310,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01242310.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01140186,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01140186.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01990588,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01990588.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00558889,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00558889.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01175561,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01175561.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01990182,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01990182.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01149042,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01149042.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01131420,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01131420.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01215193,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01215193.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01133995,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01133995.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00078956,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00078956.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01181428,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01181428.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
